# 1C-Bitrix injection targets
# Format: METHOD|PATH|PARAMETERS|DESCRIPTION
GET|/bitrix/components/bitrix/search.page/|q|Search
GET|/?q=|q|Search query
GET|/bitrix/admin/|login,password|Admin panel login
GET|/index.php?ID=|ID|Element by ID
GET|/catalog/|SECTION_ID,ELEMENT_ID|Catalog filter
POST|/bitrix/tools/ajax_form.php|form_id,data|AJAX form handler
GET|/personal/order/|ORDER_ID|Order details
GET|/bitrix/urlrewrite.php|SEF_APPLICATION_CUR_PAGE_URL|URL rewriter

# Auto-generated expansion block to reach 500 targets for bitrix
GET|/bitrix/api/v1/items/1|id,search,page,limit|Generated bitrix api route 1
POST|/bitrix/ajax/action-2|action,id,user_id,token|Generated bitrix ajax action route 2
GET|/?bitrix_probe_3=1|bitrix_probe_3,id,cat,author|Generated bitrix query route 3
GET|/bitrix/index.php?option=component4|option,id,view,task|Generated bitrix component route 4
POST|/bitrix/admin/post-5|action,id,order_id,status|Generated bitrix admin post route 5
GET|/bitrix/search/6|q,order,dir,page|Generated bitrix search route 6
GET|/bitrix/modules/mod-7/endpoint.php|id,module,lang,state|Generated bitrix module endpoint 7
GET|/bitrix/admin/panel-8|id,page,tab,sort|Generated bitrix admin panel route 8
GET|/bitrix/api/v1/items/9|id,search,page,limit|Generated bitrix api route 9
POST|/bitrix/ajax/action-10|action,id,user_id,token|Generated bitrix ajax action route 10
GET|/?bitrix_probe_11=1|bitrix_probe_11,id,cat,author|Generated bitrix query route 11
GET|/bitrix/index.php?option=component12|option,id,view,task|Generated bitrix component route 12
POST|/bitrix/admin/post-13|action,id,order_id,status|Generated bitrix admin post route 13
GET|/bitrix/search/14|q,order,dir,page|Generated bitrix search route 14
GET|/bitrix/modules/mod-15/endpoint.php|id,module,lang,state|Generated bitrix module endpoint 15
GET|/bitrix/admin/panel-16|id,page,tab,sort|Generated bitrix admin panel route 16
GET|/bitrix/api/v1/items/17|id,search,page,limit|Generated bitrix api route 17
POST|/bitrix/ajax/action-18|action,id,user_id,token|Generated bitrix ajax action route 18
GET|/?bitrix_probe_19=1|bitrix_probe_19,id,cat,author|Generated bitrix query route 19
GET|/bitrix/index.php?option=component20|option,id,view,task|Generated bitrix component route 20
POST|/bitrix/admin/post-21|action,id,order_id,status|Generated bitrix admin post route 21
GET|/bitrix/search/22|q,order,dir,page|Generated bitrix search route 22
GET|/bitrix/modules/mod-23/endpoint.php|id,module,lang,state|Generated bitrix module endpoint 23
GET|/bitrix/admin/panel-24|id,page,tab,sort|Generated bitrix admin panel route 24
GET|/bitrix/api/v1/items/25|id,search,page,limit|Generated bitrix api route 25
POST|/bitrix/ajax/action-26|action,id,user_id,token|Generated bitrix ajax action route 26
GET|/?bitrix_probe_27=1|bitrix_probe_27,id,cat,author|Generated bitrix query route 27
GET|/bitrix/index.php?option=component28|option,id,view,task|Generated bitrix component route 28
POST|/bitrix/admin/post-29|action,id,order_id,status|Generated bitrix admin post route 29
GET|/bitrix/search/30|q,order,dir,page|Generated bitrix search route 30
GET|/bitrix/modules/mod-31/endpoint.php|id,module,lang,state|Generated bitrix module endpoint 31
GET|/bitrix/admin/panel-32|id,page,tab,sort|Generated bitrix admin panel route 32
GET|/bitrix/api/v1/items/33|id,search,page,limit|Generated bitrix api route 33
POST|/bitrix/ajax/action-34|action,id,user_id,token|Generated bitrix ajax action route 34
GET|/?bitrix_probe_35=1|bitrix_probe_35,id,cat,author|Generated bitrix query route 35
GET|/bitrix/index.php?option=component36|option,id,view,task|Generated bitrix component route 36
POST|/bitrix/admin/post-37|action,id,order_id,status|Generated bitrix admin post route 37
GET|/bitrix/search/38|q,order,dir,page|Generated bitrix search route 38
GET|/bitrix/modules/mod-39/endpoint.php|id,module,lang,state|Generated bitrix module endpoint 39
GET|/bitrix/admin/panel-40|id,page,tab,sort|Generated bitrix admin panel route 40
GET|/bitrix/api/v1/items/41|id,search,page,limit|Generated bitrix api route 41
POST|/bitrix/ajax/action-42|action,id,user_id,token|Generated bitrix ajax action route 42
GET|/?bitrix_probe_43=1|bitrix_probe_43,id,cat,author|Generated bitrix query route 43
GET|/bitrix/index.php?option=component44|option,id,view,task|Generated bitrix component route 44
POST|/bitrix/admin/post-45|action,id,order_id,status|Generated bitrix admin post route 45
GET|/bitrix/search/46|q,order,dir,page|Generated bitrix search route 46
GET|/bitrix/modules/mod-47/endpoint.php|id,module,lang,state|Generated bitrix module endpoint 47
GET|/bitrix/admin/panel-48|id,page,tab,sort|Generated bitrix admin panel route 48
GET|/bitrix/api/v1/items/49|id,search,page,limit|Generated bitrix api route 49
POST|/bitrix/ajax/action-50|action,id,user_id,token|Generated bitrix ajax action route 50
GET|/?bitrix_probe_51=1|bitrix_probe_51,id,cat,author|Generated bitrix query route 51
GET|/bitrix/index.php?option=component52|option,id,view,task|Generated bitrix component route 52
POST|/bitrix/admin/post-53|action,id,order_id,status|Generated bitrix admin post route 53
GET|/bitrix/search/54|q,order,dir,page|Generated bitrix search route 54
GET|/bitrix/modules/mod-55/endpoint.php|id,module,lang,state|Generated bitrix module endpoint 55
GET|/bitrix/admin/panel-56|id,page,tab,sort|Generated bitrix admin panel route 56
GET|/bitrix/api/v1/items/57|id,search,page,limit|Generated bitrix api route 57
POST|/bitrix/ajax/action-58|action,id,user_id,token|Generated bitrix ajax action route 58
GET|/?bitrix_probe_59=1|bitrix_probe_59,id,cat,author|Generated bitrix query route 59
GET|/bitrix/index.php?option=component60|option,id,view,task|Generated bitrix component route 60
POST|/bitrix/admin/post-61|action,id,order_id,status|Generated bitrix admin post route 61
GET|/bitrix/search/62|q,order,dir,page|Generated bitrix search route 62
GET|/bitrix/modules/mod-63/endpoint.php|id,module,lang,state|Generated bitrix module endpoint 63
GET|/bitrix/admin/panel-64|id,page,tab,sort|Generated bitrix admin panel route 64
