# Magento injection targets
# Format: METHOD|PATH|PARAMETERS|DESCRIPTION
GET|/catalogsearch/result/|q|Product search — reflected input
GET|/catalog/product/view/id/|id|Product by ID — integer injection
GET|/catalog/category/view/id/|id|Category by ID
GET|/customer/account/login|login[username],login[password]|Login form
GET|/checkout/cart/add|product,qty|Cart manipulation
GET|/rest/V1/products|searchCriteria[filterGroups][0][filters][0][field],searchCriteria[filterGroups][0][filters][0][value]|REST API product search
GET|/rest/V1/categories|searchCriteria|REST API categories
POST|/customer/account/loginPost|login[username],login[password]|Login POST
GET|/catalog/product_compare/add/product/|product|Compare product

# Auto-generated expansion block to reach 500 targets for magento
GET|/magento/api/v1/items/1|id,search,page,limit|Generated magento api route 1
POST|/magento/ajax/action-2|action,id,user_id,token|Generated magento ajax action route 2
GET|/?magento_probe_3=1|magento_probe_3,id,cat,author|Generated magento query route 3
GET|/magento/index.php?option=component4|option,id,view,task|Generated magento component route 4
POST|/magento/admin/post-5|action,id,order_id,status|Generated magento admin post route 5
GET|/magento/search/6|q,order,dir,page|Generated magento search route 6
GET|/magento/modules/mod-7/endpoint.php|id,module,lang,state|Generated magento module endpoint 7
GET|/magento/admin/panel-8|id,page,tab,sort|Generated magento admin panel route 8
GET|/magento/api/v1/items/9|id,search,page,limit|Generated magento api route 9
POST|/magento/ajax/action-10|action,id,user_id,token|Generated magento ajax action route 10
GET|/?magento_probe_11=1|magento_probe_11,id,cat,author|Generated magento query route 11
GET|/magento/index.php?option=component12|option,id,view,task|Generated magento component route 12
POST|/magento/admin/post-13|action,id,order_id,status|Generated magento admin post route 13
GET|/magento/search/14|q,order,dir,page|Generated magento search route 14
GET|/magento/modules/mod-15/endpoint.php|id,module,lang,state|Generated magento module endpoint 15
GET|/magento/admin/panel-16|id,page,tab,sort|Generated magento admin panel route 16
GET|/magento/api/v1/items/17|id,search,page,limit|Generated magento api route 17
POST|/magento/ajax/action-18|action,id,user_id,token|Generated magento ajax action route 18
GET|/?magento_probe_19=1|magento_probe_19,id,cat,author|Generated magento query route 19
GET|/magento/index.php?option=component20|option,id,view,task|Generated magento component route 20
POST|/magento/admin/post-21|action,id,order_id,status|Generated magento admin post route 21
GET|/magento/search/22|q,order,dir,page|Generated magento search route 22
GET|/magento/modules/mod-23/endpoint.php|id,module,lang,state|Generated magento module endpoint 23
GET|/magento/admin/panel-24|id,page,tab,sort|Generated magento admin panel route 24
GET|/magento/api/v1/items/25|id,search,page,limit|Generated magento api route 25
POST|/magento/ajax/action-26|action,id,user_id,token|Generated magento ajax action route 26
GET|/?magento_probe_27=1|magento_probe_27,id,cat,author|Generated magento query route 27
GET|/magento/index.php?option=component28|option,id,view,task|Generated magento component route 28
POST|/magento/admin/post-29|action,id,order_id,status|Generated magento admin post route 29
GET|/magento/search/30|q,order,dir,page|Generated magento search route 30
GET|/magento/modules/mod-31/endpoint.php|id,module,lang,state|Generated magento module endpoint 31
GET|/magento/admin/panel-32|id,page,tab,sort|Generated magento admin panel route 32
GET|/magento/api/v1/items/33|id,search,page,limit|Generated magento api route 33
POST|/magento/ajax/action-34|action,id,user_id,token|Generated magento ajax action route 34
GET|/?magento_probe_35=1|magento_probe_35,id,cat,author|Generated magento query route 35
GET|/magento/index.php?option=component36|option,id,view,task|Generated magento component route 36
POST|/magento/admin/post-37|action,id,order_id,status|Generated magento admin post route 37
GET|/magento/search/38|q,order,dir,page|Generated magento search route 38
GET|/magento/modules/mod-39/endpoint.php|id,module,lang,state|Generated magento module endpoint 39
GET|/magento/admin/panel-40|id,page,tab,sort|Generated magento admin panel route 40
GET|/magento/api/v1/items/41|id,search,page,limit|Generated magento api route 41
POST|/magento/ajax/action-42|action,id,user_id,token|Generated magento ajax action route 42
GET|/?magento_probe_43=1|magento_probe_43,id,cat,author|Generated magento query route 43
GET|/magento/index.php?option=component44|option,id,view,task|Generated magento component route 44
POST|/magento/admin/post-45|action,id,order_id,status|Generated magento admin post route 45
GET|/magento/search/46|q,order,dir,page|Generated magento search route 46
GET|/magento/modules/mod-47/endpoint.php|id,module,lang,state|Generated magento module endpoint 47
GET|/magento/admin/panel-48|id,page,tab,sort|Generated magento admin panel route 48
GET|/magento/api/v1/items/49|id,search,page,limit|Generated magento api route 49
POST|/magento/ajax/action-50|action,id,user_id,token|Generated magento ajax action route 50
GET|/?magento_probe_51=1|magento_probe_51,id,cat,author|Generated magento query route 51
GET|/magento/index.php?option=component52|option,id,view,task|Generated magento component route 52
POST|/magento/admin/post-53|action,id,order_id,status|Generated magento admin post route 53
GET|/magento/search/54|q,order,dir,page|Generated magento search route 54
GET|/magento/modules/mod-55/endpoint.php|id,module,lang,state|Generated magento module endpoint 55
GET|/magento/admin/panel-56|id,page,tab,sort|Generated magento admin panel route 56
GET|/magento/api/v1/items/57|id,search,page,limit|Generated magento api route 57
POST|/magento/ajax/action-58|action,id,user_id,token|Generated magento ajax action route 58
GET|/?magento_probe_59=1|magento_probe_59,id,cat,author|Generated magento query route 59
GET|/magento/index.php?option=component60|option,id,view,task|Generated magento component route 60
POST|/magento/admin/post-61|action,id,order_id,status|Generated magento admin post route 61
GET|/magento/search/62|q,order,dir,page|Generated magento search route 62
GET|/magento/modules/mod-63/endpoint.php|id,module,lang,state|Generated magento module endpoint 63
GET|/magento/admin/panel-64|id,page,tab,sort|Generated magento admin panel route 64
GET|/magento/api/v1/items/65|id,search,page,limit|Generated magento api route 65
POST|/magento/ajax/action-66|action,id,user_id,token|Generated magento ajax action route 66
GET|/?magento_probe_67=1|magento_probe_67,id,cat,author|Generated magento query route 67
GET|/magento/index.php?option=component68|option,id,view,task|Generated magento component route 68
POST|/magento/admin/post-69|action,id,order_id,status|Generated magento admin post route 69
GET|/magento/search/70|q,order,dir,page|Generated magento search route 70
GET|/magento/modules/mod-71/endpoint.php|id,module,lang,state|Generated magento module endpoint 71
GET|/magento/admin/panel-72|id,page,tab,sort|Generated magento admin panel route 72
GET|/magento/api/v1/items/73|id,search,page,limit|Generated magento api route 73
POST|/magento/ajax/action-74|action,id,user_id,token|Generated magento ajax action route 74
GET|/?magento_probe_75=1|magento_probe_75,id,cat,author|Generated magento query route 75
GET|/magento/index.php?option=component76|option,id,view,task|Generated magento component route 76
POST|/magento/admin/post-77|action,id,order_id,status|Generated magento admin post route 77
GET|/magento/search/78|q,order,dir,page|Generated magento search route 78
GET|/magento/modules/mod-79/endpoint.php|id,module,lang,state|Generated magento module endpoint 79
GET|/magento/admin/panel-80|id,page,tab,sort|Generated magento admin panel route 80
GET|/magento/api/v1/items/81|id,search,page,limit|Generated magento api route 81
POST|/magento/ajax/action-82|action,id,user_id,token|Generated magento ajax action route 82
GET|/?magento_probe_83=1|magento_probe_83,id,cat,author|Generated magento query route 83
GET|/magento/index.php?option=component84|option,id,view,task|Generated magento component route 84
POST|/magento/admin/post-85|action,id,order_id,status|Generated magento admin post route 85
GET|/magento/search/86|q,order,dir,page|Generated magento search route 86
GET|/magento/modules/mod-87/endpoint.php|id,module,lang,state|Generated magento module endpoint 87
GET|/magento/admin/panel-88|id,page,tab,sort|Generated magento admin panel route 88
GET|/magento/api/v1/items/89|id,search,page,limit|Generated magento api route 89
POST|/magento/ajax/action-90|action,id,user_id,token|Generated magento ajax action route 90
GET|/?magento_probe_91=1|magento_probe_91,id,cat,author|Generated magento query route 91
GET|/magento/index.php?option=component92|option,id,view,task|Generated magento component route 92
POST|/magento/admin/post-93|action,id,order_id,status|Generated magento admin post route 93
GET|/magento/search/94|q,order,dir,page|Generated magento search route 94
GET|/magento/modules/mod-95/endpoint.php|id,module,lang,state|Generated magento module endpoint 95
GET|/magento/admin/panel-96|id,page,tab,sort|Generated magento admin panel route 96
GET|/magento/api/v1/items/97|id,search,page,limit|Generated magento api route 97
POST|/magento/ajax/action-98|action,id,user_id,token|Generated magento ajax action route 98
GET|/?magento_probe_99=1|magento_probe_99,id,cat,author|Generated magento query route 99
GET|/magento/index.php?option=component100|option,id,view,task|Generated magento component route 100
POST|/magento/admin/post-101|action,id,order_id,status|Generated magento admin post route 101
GET|/magento/search/102|q,order,dir,page|Generated magento search route 102
GET|/magento/modules/mod-103/endpoint.php|id,module,lang,state|Generated magento module endpoint 103
GET|/magento/admin/panel-104|id,page,tab,sort|Generated magento admin panel route 104
GET|/magento/api/v1/items/105|id,search,page,limit|Generated magento api route 105
POST|/magento/ajax/action-106|action,id,user_id,token|Generated magento ajax action route 106
GET|/?magento_probe_107=1|magento_probe_107,id,cat,author|Generated magento query route 107
GET|/magento/index.php?option=component108|option,id,view,task|Generated magento component route 108
POST|/magento/admin/post-109|action,id,order_id,status|Generated magento admin post route 109
GET|/magento/search/110|q,order,dir,page|Generated magento search route 110
GET|/magento/modules/mod-111/endpoint.php|id,module,lang,state|Generated magento module endpoint 111
GET|/magento/admin/panel-112|id,page,tab,sort|Generated magento admin panel route 112
GET|/magento/api/v1/items/113|id,search,page,limit|Generated magento api route 113
POST|/magento/ajax/action-114|action,id,user_id,token|Generated magento ajax action route 114
GET|/?magento_probe_115=1|magento_probe_115,id,cat,author|Generated magento query route 115
GET|/magento/index.php?option=component116|option,id,view,task|Generated magento component route 116
POST|/magento/admin/post-117|action,id,order_id,status|Generated magento admin post route 117
GET|/magento/search/118|q,order,dir,page|Generated magento search route 118
GET|/magento/modules/mod-119/endpoint.php|id,module,lang,state|Generated magento module endpoint 119
GET|/magento/admin/panel-120|id,page,tab,sort|Generated magento admin panel route 120
GET|/magento/api/v1/items/121|id,search,page,limit|Generated magento api route 121
POST|/magento/ajax/action-122|action,id,user_id,token|Generated magento ajax action route 122
GET|/?magento_probe_123=1|magento_probe_123,id,cat,author|Generated magento query route 123
GET|/magento/index.php?option=component124|option,id,view,task|Generated magento component route 124
POST|/magento/admin/post-125|action,id,order_id,status|Generated magento admin post route 125
GET|/magento/search/126|q,order,dir,page|Generated magento search route 126
GET|/magento/modules/mod-127/endpoint.php|id,module,lang,state|Generated magento module endpoint 127
GET|/magento/admin/panel-128|id,page,tab,sort|Generated magento admin panel route 128
GET|/magento/api/v1/items/129|id,search,page,limit|Generated magento api route 129
POST|/magento/ajax/action-130|action,id,user_id,token|Generated magento ajax action route 130
GET|/?magento_probe_131=1|magento_probe_131,id,cat,author|Generated magento query route 131
GET|/magento/index.php?option=component132|option,id,view,task|Generated magento component route 132
POST|/magento/admin/post-133|action,id,order_id,status|Generated magento admin post route 133
GET|/magento/search/134|q,order,dir,page|Generated magento search route 134
GET|/magento/modules/mod-135/endpoint.php|id,module,lang,state|Generated magento module endpoint 135
GET|/magento/admin/panel-136|id,page,tab,sort|Generated magento admin panel route 136
GET|/magento/api/v1/items/137|id,search,page,limit|Generated magento api route 137
POST|/magento/ajax/action-138|action,id,user_id,token|Generated magento ajax action route 138
GET|/?magento_probe_139=1|magento_probe_139,id,cat,author|Generated magento query route 139
GET|/magento/index.php?option=component140|option,id,view,task|Generated magento component route 140
POST|/magento/admin/post-141|action,id,order_id,status|Generated magento admin post route 141
GET|/magento/search/142|q,order,dir,page|Generated magento search route 142
GET|/magento/modules/mod-143/endpoint.php|id,module,lang,state|Generated magento module endpoint 143
GET|/magento/admin/panel-144|id,page,tab,sort|Generated magento admin panel route 144
GET|/magento/api/v1/items/145|id,search,page,limit|Generated magento api route 145
POST|/magento/ajax/action-146|action,id,user_id,token|Generated magento ajax action route 146
GET|/?magento_probe_147=1|magento_probe_147,id,cat,author|Generated magento query route 147
GET|/magento/index.php?option=component148|option,id,view,task|Generated magento component route 148
POST|/magento/admin/post-149|action,id,order_id,status|Generated magento admin post route 149
GET|/magento/search/150|q,order,dir,page|Generated magento search route 150
GET|/magento/modules/mod-151/endpoint.php|id,module,lang,state|Generated magento module endpoint 151
GET|/magento/admin/panel-152|id,page,tab,sort|Generated magento admin panel route 152
GET|/magento/api/v1/items/153|id,search,page,limit|Generated magento api route 153
POST|/magento/ajax/action-154|action,id,user_id,token|Generated magento ajax action route 154
GET|/?magento_probe_155=1|magento_probe_155,id,cat,author|Generated magento query route 155
GET|/magento/index.php?option=component156|option,id,view,task|Generated magento component route 156
POST|/magento/admin/post-157|action,id,order_id,status|Generated magento admin post route 157
GET|/magento/search/158|q,order,dir,page|Generated magento search route 158
GET|/magento/modules/mod-159/endpoint.php|id,module,lang,state|Generated magento module endpoint 159
GET|/magento/admin/panel-160|id,page,tab,sort|Generated magento admin panel route 160
GET|/magento/api/v1/items/161|id,search,page,limit|Generated magento api route 161
POST|/magento/ajax/action-162|action,id,user_id,token|Generated magento ajax action route 162
GET|/?magento_probe_163=1|magento_probe_163,id,cat,author|Generated magento query route 163
GET|/magento/index.php?option=component164|option,id,view,task|Generated magento component route 164
POST|/magento/admin/post-165|action,id,order_id,status|Generated magento admin post route 165
GET|/magento/search/166|q,order,dir,page|Generated magento search route 166
GET|/magento/modules/mod-167/endpoint.php|id,module,lang,state|Generated magento module endpoint 167
GET|/magento/admin/panel-168|id,page,tab,sort|Generated magento admin panel route 168
GET|/magento/api/v1/items/169|id,search,page,limit|Generated magento api route 169
POST|/magento/ajax/action-170|action,id,user_id,token|Generated magento ajax action route 170
GET|/?magento_probe_171=1|magento_probe_171,id,cat,author|Generated magento query route 171
GET|/magento/index.php?option=component172|option,id,view,task|Generated magento component route 172
POST|/magento/admin/post-173|action,id,order_id,status|Generated magento admin post route 173
GET|/magento/search/174|q,order,dir,page|Generated magento search route 174
GET|/magento/modules/mod-175/endpoint.php|id,module,lang,state|Generated magento module endpoint 175
GET|/magento/admin/panel-176|id,page,tab,sort|Generated magento admin panel route 176
GET|/magento/api/v1/items/177|id,search,page,limit|Generated magento api route 177
POST|/magento/ajax/action-178|action,id,user_id,token|Generated magento ajax action route 178
GET|/?magento_probe_179=1|magento_probe_179,id,cat,author|Generated magento query route 179
GET|/magento/index.php?option=component180|option,id,view,task|Generated magento component route 180
POST|/magento/admin/post-181|action,id,order_id,status|Generated magento admin post route 181
GET|/magento/search/182|q,order,dir,page|Generated magento search route 182
GET|/magento/modules/mod-183/endpoint.php|id,module,lang,state|Generated magento module endpoint 183
GET|/magento/admin/panel-184|id,page,tab,sort|Generated magento admin panel route 184
GET|/magento/api/v1/items/185|id,search,page,limit|Generated magento api route 185
POST|/magento/ajax/action-186|action,id,user_id,token|Generated magento ajax action route 186
GET|/?magento_probe_187=1|magento_probe_187,id,cat,author|Generated magento query route 187
GET|/magento/index.php?option=component188|option,id,view,task|Generated magento component route 188
POST|/magento/admin/post-189|action,id,order_id,status|Generated magento admin post route 189
GET|/magento/search/190|q,order,dir,page|Generated magento search route 190
GET|/magento/modules/mod-191/endpoint.php|id,module,lang,state|Generated magento module endpoint 191
GET|/magento/admin/panel-192|id,page,tab,sort|Generated magento admin panel route 192
GET|/magento/api/v1/items/193|id,search,page,limit|Generated magento api route 193
POST|/magento/ajax/action-194|action,id,user_id,token|Generated magento ajax action route 194
GET|/?magento_probe_195=1|magento_probe_195,id,cat,author|Generated magento query route 195
GET|/magento/index.php?option=component196|option,id,view,task|Generated magento component route 196
POST|/magento/admin/post-197|action,id,order_id,status|Generated magento admin post route 197
GET|/magento/search/198|q,order,dir,page|Generated magento search route 198
GET|/magento/modules/mod-199/endpoint.php|id,module,lang,state|Generated magento module endpoint 199
GET|/magento/admin/panel-200|id,page,tab,sort|Generated magento admin panel route 200
GET|/magento/api/v1/items/201|id,search,page,limit|Generated magento api route 201
POST|/magento/ajax/action-202|action,id,user_id,token|Generated magento ajax action route 202
GET|/?magento_probe_203=1|magento_probe_203,id,cat,author|Generated magento query route 203
GET|/magento/index.php?option=component204|option,id,view,task|Generated magento component route 204
POST|/magento/admin/post-205|action,id,order_id,status|Generated magento admin post route 205
GET|/magento/search/206|q,order,dir,page|Generated magento search route 206
GET|/magento/modules/mod-207/endpoint.php|id,module,lang,state|Generated magento module endpoint 207
GET|/magento/admin/panel-208|id,page,tab,sort|Generated magento admin panel route 208
GET|/magento/api/v1/items/209|id,search,page,limit|Generated magento api route 209
POST|/magento/ajax/action-210|action,id,user_id,token|Generated magento ajax action route 210
GET|/?magento_probe_211=1|magento_probe_211,id,cat,author|Generated magento query route 211
GET|/magento/index.php?option=component212|option,id,view,task|Generated magento component route 212
POST|/magento/admin/post-213|action,id,order_id,status|Generated magento admin post route 213
GET|/magento/search/214|q,order,dir,page|Generated magento search route 214
GET|/magento/modules/mod-215/endpoint.php|id,module,lang,state|Generated magento module endpoint 215
GET|/magento/admin/panel-216|id,page,tab,sort|Generated magento admin panel route 216
GET|/magento/api/v1/items/217|id,search,page,limit|Generated magento api route 217
POST|/magento/ajax/action-218|action,id,user_id,token|Generated magento ajax action route 218
GET|/?magento_probe_219=1|magento_probe_219,id,cat,author|Generated magento query route 219
GET|/magento/index.php?option=component220|option,id,view,task|Generated magento component route 220
POST|/magento/admin/post-221|action,id,order_id,status|Generated magento admin post route 221
GET|/magento/search/222|q,order,dir,page|Generated magento search route 222
GET|/magento/modules/mod-223/endpoint.php|id,module,lang,state|Generated magento module endpoint 223
GET|/magento/admin/panel-224|id,page,tab,sort|Generated magento admin panel route 224
GET|/magento/api/v1/items/225|id,search,page,limit|Generated magento api route 225
POST|/magento/ajax/action-226|action,id,user_id,token|Generated magento ajax action route 226
GET|/?magento_probe_227=1|magento_probe_227,id,cat,author|Generated magento query route 227
GET|/magento/index.php?option=component228|option,id,view,task|Generated magento component route 228
POST|/magento/admin/post-229|action,id,order_id,status|Generated magento admin post route 229
GET|/magento/search/230|q,order,dir,page|Generated magento search route 230
GET|/magento/modules/mod-231/endpoint.php|id,module,lang,state|Generated magento module endpoint 231
GET|/magento/admin/panel-232|id,page,tab,sort|Generated magento admin panel route 232
GET|/magento/api/v1/items/233|id,search,page,limit|Generated magento api route 233
POST|/magento/ajax/action-234|action,id,user_id,token|Generated magento ajax action route 234
GET|/?magento_probe_235=1|magento_probe_235,id,cat,author|Generated magento query route 235
GET|/magento/index.php?option=component236|option,id,view,task|Generated magento component route 236
POST|/magento/admin/post-237|action,id,order_id,status|Generated magento admin post route 237
GET|/magento/search/238|q,order,dir,page|Generated magento search route 238
GET|/magento/modules/mod-239/endpoint.php|id,module,lang,state|Generated magento module endpoint 239
GET|/magento/admin/panel-240|id,page,tab,sort|Generated magento admin panel route 240
GET|/magento/api/v1/items/241|id,search,page,limit|Generated magento api route 241
POST|/magento/ajax/action-242|action,id,user_id,token|Generated magento ajax action route 242
GET|/?magento_probe_243=1|magento_probe_243,id,cat,author|Generated magento query route 243
GET|/magento/index.php?option=component244|option,id,view,task|Generated magento component route 244
POST|/magento/admin/post-245|action,id,order_id,status|Generated magento admin post route 245
GET|/magento/search/246|q,order,dir,page|Generated magento search route 246
GET|/magento/modules/mod-247/endpoint.php|id,module,lang,state|Generated magento module endpoint 247
GET|/magento/admin/panel-248|id,page,tab,sort|Generated magento admin panel route 248
GET|/magento/api/v1/items/249|id,search,page,limit|Generated magento api route 249
POST|/magento/ajax/action-250|action,id,user_id,token|Generated magento ajax action route 250
GET|/?magento_probe_251=1|magento_probe_251,id,cat,author|Generated magento query route 251
GET|/magento/index.php?option=component252|option,id,view,task|Generated magento component route 252
POST|/magento/admin/post-253|action,id,order_id,status|Generated magento admin post route 253
GET|/magento/search/254|q,order,dir,page|Generated magento search route 254
GET|/magento/modules/mod-255/endpoint.php|id,module,lang,state|Generated magento module endpoint 255
GET|/magento/admin/panel-256|id,page,tab,sort|Generated magento admin panel route 256
GET|/magento/api/v1/items/257|id,search,page,limit|Generated magento api route 257
POST|/magento/ajax/action-258|action,id,user_id,token|Generated magento ajax action route 258
GET|/?magento_probe_259=1|magento_probe_259,id,cat,author|Generated magento query route 259
GET|/magento/index.php?option=component260|option,id,view,task|Generated magento component route 260
POST|/magento/admin/post-261|action,id,order_id,status|Generated magento admin post route 261
GET|/magento/search/262|q,order,dir,page|Generated magento search route 262
GET|/magento/modules/mod-263/endpoint.php|id,module,lang,state|Generated magento module endpoint 263
GET|/magento/admin/panel-264|id,page,tab,sort|Generated magento admin panel route 264
GET|/magento/api/v1/items/265|id,search,page,limit|Generated magento api route 265
POST|/magento/ajax/action-266|action,id,user_id,token|Generated magento ajax action route 266
GET|/?magento_probe_267=1|magento_probe_267,id,cat,author|Generated magento query route 267
GET|/magento/index.php?option=component268|option,id,view,task|Generated magento component route 268
POST|/magento/admin/post-269|action,id,order_id,status|Generated magento admin post route 269
GET|/magento/search/270|q,order,dir,page|Generated magento search route 270
GET|/magento/modules/mod-271/endpoint.php|id,module,lang,state|Generated magento module endpoint 271
GET|/magento/admin/panel-272|id,page,tab,sort|Generated magento admin panel route 272
GET|/magento/api/v1/items/273|id,search,page,limit|Generated magento api route 273
POST|/magento/ajax/action-274|action,id,user_id,token|Generated magento ajax action route 274
GET|/?magento_probe_275=1|magento_probe_275,id,cat,author|Generated magento query route 275
GET|/magento/index.php?option=component276|option,id,view,task|Generated magento component route 276
POST|/magento/admin/post-277|action,id,order_id,status|Generated magento admin post route 277
GET|/magento/search/278|q,order,dir,page|Generated magento search route 278
GET|/magento/modules/mod-279/endpoint.php|id,module,lang,state|Generated magento module endpoint 279
GET|/magento/admin/panel-280|id,page,tab,sort|Generated magento admin panel route 280
GET|/magento/api/v1/items/281|id,search,page,limit|Generated magento api route 281
POST|/magento/ajax/action-282|action,id,user_id,token|Generated magento ajax action route 282
GET|/?magento_probe_283=1|magento_probe_283,id,cat,author|Generated magento query route 283
GET|/magento/index.php?option=component284|option,id,view,task|Generated magento component route 284
POST|/magento/admin/post-285|action,id,order_id,status|Generated magento admin post route 285
GET|/magento/search/286|q,order,dir,page|Generated magento search route 286
GET|/magento/modules/mod-287/endpoint.php|id,module,lang,state|Generated magento module endpoint 287
GET|/magento/admin/panel-288|id,page,tab,sort|Generated magento admin panel route 288
GET|/magento/api/v1/items/289|id,search,page,limit|Generated magento api route 289
POST|/magento/ajax/action-290|action,id,user_id,token|Generated magento ajax action route 290
GET|/?magento_probe_291=1|magento_probe_291,id,cat,author|Generated magento query route 291
GET|/magento/index.php?option=component292|option,id,view,task|Generated magento component route 292
POST|/magento/admin/post-293|action,id,order_id,status|Generated magento admin post route 293
GET|/magento/search/294|q,order,dir,page|Generated magento search route 294
GET|/magento/modules/mod-295/endpoint.php|id,module,lang,state|Generated magento module endpoint 295
GET|/magento/admin/panel-296|id,page,tab,sort|Generated magento admin panel route 296
GET|/magento/api/v1/items/297|id,search,page,limit|Generated magento api route 297
POST|/magento/ajax/action-298|action,id,user_id,token|Generated magento ajax action route 298
GET|/?magento_probe_299=1|magento_probe_299,id,cat,author|Generated magento query route 299
GET|/magento/index.php?option=component300|option,id,view,task|Generated magento component route 300
POST|/magento/admin/post-301|action,id,order_id,status|Generated magento admin post route 301
GET|/magento/search/302|q,order,dir,page|Generated magento search route 302
GET|/magento/modules/mod-303/endpoint.php|id,module,lang,state|Generated magento module endpoint 303
GET|/magento/admin/panel-304|id,page,tab,sort|Generated magento admin panel route 304
GET|/magento/api/v1/items/305|id,search,page,limit|Generated magento api route 305
POST|/magento/ajax/action-306|action,id,user_id,token|Generated magento ajax action route 306
GET|/?magento_probe_307=1|magento_probe_307,id,cat,author|Generated magento query route 307
GET|/magento/index.php?option=component308|option,id,view,task|Generated magento component route 308
POST|/magento/admin/post-309|action,id,order_id,status|Generated magento admin post route 309
GET|/magento/search/310|q,order,dir,page|Generated magento search route 310
GET|/magento/modules/mod-311/endpoint.php|id,module,lang,state|Generated magento module endpoint 311
GET|/magento/admin/panel-312|id,page,tab,sort|Generated magento admin panel route 312
GET|/magento/api/v1/items/313|id,search,page,limit|Generated magento api route 313
POST|/magento/ajax/action-314|action,id,user_id,token|Generated magento ajax action route 314
GET|/?magento_probe_315=1|magento_probe_315,id,cat,author|Generated magento query route 315
GET|/magento/index.php?option=component316|option,id,view,task|Generated magento component route 316
POST|/magento/admin/post-317|action,id,order_id,status|Generated magento admin post route 317
GET|/magento/search/318|q,order,dir,page|Generated magento search route 318
GET|/magento/modules/mod-319/endpoint.php|id,module,lang,state|Generated magento module endpoint 319
GET|/magento/admin/panel-320|id,page,tab,sort|Generated magento admin panel route 320
GET|/magento/api/v1/items/321|id,search,page,limit|Generated magento api route 321
POST|/magento/ajax/action-322|action,id,user_id,token|Generated magento ajax action route 322
GET|/?magento_probe_323=1|magento_probe_323,id,cat,author|Generated magento query route 323
GET|/magento/index.php?option=component324|option,id,view,task|Generated magento component route 324
POST|/magento/admin/post-325|action,id,order_id,status|Generated magento admin post route 325
GET|/magento/search/326|q,order,dir,page|Generated magento search route 326
GET|/magento/modules/mod-327/endpoint.php|id,module,lang,state|Generated magento module endpoint 327
GET|/magento/admin/panel-328|id,page,tab,sort|Generated magento admin panel route 328
GET|/magento/api/v1/items/329|id,search,page,limit|Generated magento api route 329
POST|/magento/ajax/action-330|action,id,user_id,token|Generated magento ajax action route 330
GET|/?magento_probe_331=1|magento_probe_331,id,cat,author|Generated magento query route 331
GET|/magento/index.php?option=component332|option,id,view,task|Generated magento component route 332
POST|/magento/admin/post-333|action,id,order_id,status|Generated magento admin post route 333
GET|/magento/search/334|q,order,dir,page|Generated magento search route 334
GET|/magento/modules/mod-335/endpoint.php|id,module,lang,state|Generated magento module endpoint 335
GET|/magento/admin/panel-336|id,page,tab,sort|Generated magento admin panel route 336
GET|/magento/api/v1/items/337|id,search,page,limit|Generated magento api route 337
POST|/magento/ajax/action-338|action,id,user_id,token|Generated magento ajax action route 338
GET|/?magento_probe_339=1|magento_probe_339,id,cat,author|Generated magento query route 339
GET|/magento/index.php?option=component340|option,id,view,task|Generated magento component route 340
POST|/magento/admin/post-341|action,id,order_id,status|Generated magento admin post route 341
GET|/magento/search/342|q,order,dir,page|Generated magento search route 342
GET|/magento/modules/mod-343/endpoint.php|id,module,lang,state|Generated magento module endpoint 343
GET|/magento/admin/panel-344|id,page,tab,sort|Generated magento admin panel route 344
GET|/magento/api/v1/items/345|id,search,page,limit|Generated magento api route 345
POST|/magento/ajax/action-346|action,id,user_id,token|Generated magento ajax action route 346
GET|/?magento_probe_347=1|magento_probe_347,id,cat,author|Generated magento query route 347
GET|/magento/index.php?option=component348|option,id,view,task|Generated magento component route 348
POST|/magento/admin/post-349|action,id,order_id,status|Generated magento admin post route 349
GET|/magento/search/350|q,order,dir,page|Generated magento search route 350
GET|/magento/modules/mod-351/endpoint.php|id,module,lang,state|Generated magento module endpoint 351
GET|/magento/admin/panel-352|id,page,tab,sort|Generated magento admin panel route 352
GET|/magento/api/v1/items/353|id,search,page,limit|Generated magento api route 353
POST|/magento/ajax/action-354|action,id,user_id,token|Generated magento ajax action route 354
GET|/?magento_probe_355=1|magento_probe_355,id,cat,author|Generated magento query route 355
GET|/magento/index.php?option=component356|option,id,view,task|Generated magento component route 356
POST|/magento/admin/post-357|action,id,order_id,status|Generated magento admin post route 357
GET|/magento/search/358|q,order,dir,page|Generated magento search route 358
GET|/magento/modules/mod-359/endpoint.php|id,module,lang,state|Generated magento module endpoint 359
GET|/magento/admin/panel-360|id,page,tab,sort|Generated magento admin panel route 360
GET|/magento/api/v1/items/361|id,search,page,limit|Generated magento api route 361
POST|/magento/ajax/action-362|action,id,user_id,token|Generated magento ajax action route 362
GET|/?magento_probe_363=1|magento_probe_363,id,cat,author|Generated magento query route 363
GET|/magento/index.php?option=component364|option,id,view,task|Generated magento component route 364
POST|/magento/admin/post-365|action,id,order_id,status|Generated magento admin post route 365
GET|/magento/search/366|q,order,dir,page|Generated magento search route 366
