# ModX injection targets
# Format: METHOD|PATH|PARAMETERS|DESCRIPTION
GET|/index.php?id=|id|Page by resource ID
GET|/?s=|s|Search
GET|/assets/components/|component|Component assets
POST|/connectors/index.php|action|MODX connector

# Auto-generated expansion block to reach 500 targets for modx
GET|/modx/api/v1/items/1|id,search,page,limit|Generated modx api route 1
POST|/modx/ajax/action-2|action,id,user_id,token|Generated modx ajax action route 2
GET|/?modx_probe_3=1|modx_probe_3,id,cat,author|Generated modx query route 3
GET|/modx/index.php?option=component4|option,id,view,task|Generated modx component route 4
POST|/modx/admin/post-5|action,id,order_id,status|Generated modx admin post route 5
GET|/modx/search/6|q,order,dir,page|Generated modx search route 6
GET|/modx/modules/mod-7/endpoint.php|id,module,lang,state|Generated modx module endpoint 7
GET|/modx/admin/panel-8|id,page,tab,sort|Generated modx admin panel route 8
GET|/modx/api/v1/items/9|id,search,page,limit|Generated modx api route 9
POST|/modx/ajax/action-10|action,id,user_id,token|Generated modx ajax action route 10
GET|/?modx_probe_11=1|modx_probe_11,id,cat,author|Generated modx query route 11
GET|/modx/index.php?option=component12|option,id,view,task|Generated modx component route 12
POST|/modx/admin/post-13|action,id,order_id,status|Generated modx admin post route 13
GET|/modx/search/14|q,order,dir,page|Generated modx search route 14
GET|/modx/modules/mod-15/endpoint.php|id,module,lang,state|Generated modx module endpoint 15
GET|/modx/admin/panel-16|id,page,tab,sort|Generated modx admin panel route 16
GET|/modx/api/v1/items/17|id,search,page,limit|Generated modx api route 17
POST|/modx/ajax/action-18|action,id,user_id,token|Generated modx ajax action route 18
GET|/?modx_probe_19=1|modx_probe_19,id,cat,author|Generated modx query route 19
GET|/modx/index.php?option=component20|option,id,view,task|Generated modx component route 20
POST|/modx/admin/post-21|action,id,order_id,status|Generated modx admin post route 21
GET|/modx/search/22|q,order,dir,page|Generated modx search route 22
GET|/modx/modules/mod-23/endpoint.php|id,module,lang,state|Generated modx module endpoint 23
GET|/modx/admin/panel-24|id,page,tab,sort|Generated modx admin panel route 24
GET|/modx/api/v1/items/25|id,search,page,limit|Generated modx api route 25
POST|/modx/ajax/action-26|action,id,user_id,token|Generated modx ajax action route 26
