# OpenCart injection targets
# Format: METHOD|PATH|PARAMETERS|DESCRIPTION
GET|/index.php?route=product/search|search,category_id,sort,order,limit|Product search
GET|/index.php?route=product/product&product_id=|product_id|Product by ID
GET|/index.php?route=product/category&path=|path|Category path
GET|/index.php?route=account/login|email,password|Login
GET|/index.php?route=information/information&information_id=|information_id|Info page by ID
POST|/index.php?route=account/login|email,password|Login POST
GET|/index.php?route=product/manufacturer/info&manufacturer_id=|manufacturer_id|Manufacturer

# Auto-generated expansion block to reach 500 targets for opencart
GET|/opencart/api/v1/items/1|id,search,page,limit|Generated opencart api route 1
POST|/opencart/ajax/action-2|action,id,user_id,token|Generated opencart ajax action route 2
GET|/?opencart_probe_3=1|opencart_probe_3,id,cat,author|Generated opencart query route 3
GET|/opencart/index.php?option=component4|option,id,view,task|Generated opencart component route 4
POST|/opencart/admin/post-5|action,id,order_id,status|Generated opencart admin post route 5
GET|/opencart/search/6|q,order,dir,page|Generated opencart search route 6
GET|/opencart/modules/mod-7/endpoint.php|id,module,lang,state|Generated opencart module endpoint 7
GET|/opencart/admin/panel-8|id,page,tab,sort|Generated opencart admin panel route 8
GET|/opencart/api/v1/items/9|id,search,page,limit|Generated opencart api route 9
POST|/opencart/ajax/action-10|action,id,user_id,token|Generated opencart ajax action route 10
GET|/?opencart_probe_11=1|opencart_probe_11,id,cat,author|Generated opencart query route 11
GET|/opencart/index.php?option=component12|option,id,view,task|Generated opencart component route 12
POST|/opencart/admin/post-13|action,id,order_id,status|Generated opencart admin post route 13
GET|/opencart/search/14|q,order,dir,page|Generated opencart search route 14
GET|/opencart/modules/mod-15/endpoint.php|id,module,lang,state|Generated opencart module endpoint 15
GET|/opencart/admin/panel-16|id,page,tab,sort|Generated opencart admin panel route 16
GET|/opencart/api/v1/items/17|id,search,page,limit|Generated opencart api route 17
POST|/opencart/ajax/action-18|action,id,user_id,token|Generated opencart ajax action route 18
GET|/?opencart_probe_19=1|opencart_probe_19,id,cat,author|Generated opencart query route 19
GET|/opencart/index.php?option=component20|option,id,view,task|Generated opencart component route 20
POST|/opencart/admin/post-21|action,id,order_id,status|Generated opencart admin post route 21
GET|/opencart/search/22|q,order,dir,page|Generated opencart search route 22
GET|/opencart/modules/mod-23/endpoint.php|id,module,lang,state|Generated opencart module endpoint 23
GET|/opencart/admin/panel-24|id,page,tab,sort|Generated opencart admin panel route 24
GET|/opencart/api/v1/items/25|id,search,page,limit|Generated opencart api route 25
POST|/opencart/ajax/action-26|action,id,user_id,token|Generated opencart ajax action route 26
GET|/?opencart_probe_27=1|opencart_probe_27,id,cat,author|Generated opencart query route 27
GET|/opencart/index.php?option=component28|option,id,view,task|Generated opencart component route 28
POST|/opencart/admin/post-29|action,id,order_id,status|Generated opencart admin post route 29
GET|/opencart/search/30|q,order,dir,page|Generated opencart search route 30
GET|/opencart/modules/mod-31/endpoint.php|id,module,lang,state|Generated opencart module endpoint 31
GET|/opencart/admin/panel-32|id,page,tab,sort|Generated opencart admin panel route 32
GET|/opencart/api/v1/items/33|id,search,page,limit|Generated opencart api route 33
POST|/opencart/ajax/action-34|action,id,user_id,token|Generated opencart ajax action route 34
GET|/?opencart_probe_35=1|opencart_probe_35,id,cat,author|Generated opencart query route 35
GET|/opencart/index.php?option=component36|option,id,view,task|Generated opencart component route 36
POST|/opencart/admin/post-37|action,id,order_id,status|Generated opencart admin post route 37
GET|/opencart/search/38|q,order,dir,page|Generated opencart search route 38
GET|/opencart/modules/mod-39/endpoint.php|id,module,lang,state|Generated opencart module endpoint 39
GET|/opencart/admin/panel-40|id,page,tab,sort|Generated opencart admin panel route 40
GET|/opencart/api/v1/items/41|id,search,page,limit|Generated opencart api route 41
POST|/opencart/ajax/action-42|action,id,user_id,token|Generated opencart ajax action route 42
GET|/?opencart_probe_43=1|opencart_probe_43,id,cat,author|Generated opencart query route 43
GET|/opencart/index.php?option=component44|option,id,view,task|Generated opencart component route 44
POST|/opencart/admin/post-45|action,id,order_id,status|Generated opencart admin post route 45
GET|/opencart/search/46|q,order,dir,page|Generated opencart search route 46
GET|/opencart/modules/mod-47/endpoint.php|id,module,lang,state|Generated opencart module endpoint 47
GET|/opencart/admin/panel-48|id,page,tab,sort|Generated opencart admin panel route 48
GET|/opencart/api/v1/items/49|id,search,page,limit|Generated opencart api route 49
POST|/opencart/ajax/action-50|action,id,user_id,token|Generated opencart ajax action route 50
GET|/?opencart_probe_51=1|opencart_probe_51,id,cat,author|Generated opencart query route 51
GET|/opencart/index.php?option=component52|option,id,view,task|Generated opencart component route 52
POST|/opencart/admin/post-53|action,id,order_id,status|Generated opencart admin post route 53
GET|/opencart/search/54|q,order,dir,page|Generated opencart search route 54
GET|/opencart/modules/mod-55/endpoint.php|id,module,lang,state|Generated opencart module endpoint 55
GET|/opencart/admin/panel-56|id,page,tab,sort|Generated opencart admin panel route 56
GET|/opencart/api/v1/items/57|id,search,page,limit|Generated opencart api route 57
POST|/opencart/ajax/action-58|action,id,user_id,token|Generated opencart ajax action route 58
GET|/?opencart_probe_59=1|opencart_probe_59,id,cat,author|Generated opencart query route 59
GET|/opencart/index.php?option=component60|option,id,view,task|Generated opencart component route 60
POST|/opencart/admin/post-61|action,id,order_id,status|Generated opencart admin post route 61
GET|/opencart/search/62|q,order,dir,page|Generated opencart search route 62
GET|/opencart/modules/mod-63/endpoint.php|id,module,lang,state|Generated opencart module endpoint 63
GET|/opencart/admin/panel-64|id,page,tab,sort|Generated opencart admin panel route 64
GET|/opencart/api/v1/items/65|id,search,page,limit|Generated opencart api route 65
POST|/opencart/ajax/action-66|action,id,user_id,token|Generated opencart ajax action route 66
GET|/?opencart_probe_67=1|opencart_probe_67,id,cat,author|Generated opencart query route 67
GET|/opencart/index.php?option=component68|option,id,view,task|Generated opencart component route 68
POST|/opencart/admin/post-69|action,id,order_id,status|Generated opencart admin post route 69
GET|/opencart/search/70|q,order,dir,page|Generated opencart search route 70
GET|/opencart/modules/mod-71/endpoint.php|id,module,lang,state|Generated opencart module endpoint 71
GET|/opencart/admin/panel-72|id,page,tab,sort|Generated opencart admin panel route 72
GET|/opencart/api/v1/items/73|id,search,page,limit|Generated opencart api route 73
POST|/opencart/ajax/action-74|action,id,user_id,token|Generated opencart ajax action route 74
GET|/?opencart_probe_75=1|opencart_probe_75,id,cat,author|Generated opencart query route 75
GET|/opencart/index.php?option=component76|option,id,view,task|Generated opencart component route 76
POST|/opencart/admin/post-77|action,id,order_id,status|Generated opencart admin post route 77
GET|/opencart/search/78|q,order,dir,page|Generated opencart search route 78
GET|/opencart/modules/mod-79/endpoint.php|id,module,lang,state|Generated opencart module endpoint 79
GET|/opencart/admin/panel-80|id,page,tab,sort|Generated opencart admin panel route 80
GET|/opencart/api/v1/items/81|id,search,page,limit|Generated opencart api route 81
POST|/opencart/ajax/action-82|action,id,user_id,token|Generated opencart ajax action route 82
GET|/?opencart_probe_83=1|opencart_probe_83,id,cat,author|Generated opencart query route 83
GET|/opencart/index.php?option=component84|option,id,view,task|Generated opencart component route 84
POST|/opencart/admin/post-85|action,id,order_id,status|Generated opencart admin post route 85
GET|/opencart/search/86|q,order,dir,page|Generated opencart search route 86
GET|/opencart/modules/mod-87/endpoint.php|id,module,lang,state|Generated opencart module endpoint 87
GET|/opencart/admin/panel-88|id,page,tab,sort|Generated opencart admin panel route 88
GET|/opencart/api/v1/items/89|id,search,page,limit|Generated opencart api route 89
POST|/opencart/ajax/action-90|action,id,user_id,token|Generated opencart ajax action route 90
GET|/?opencart_probe_91=1|opencart_probe_91,id,cat,author|Generated opencart query route 91
GET|/opencart/index.php?option=component92|option,id,view,task|Generated opencart component route 92
POST|/opencart/admin/post-93|action,id,order_id,status|Generated opencart admin post route 93
GET|/opencart/search/94|q,order,dir,page|Generated opencart search route 94
GET|/opencart/modules/mod-95/endpoint.php|id,module,lang,state|Generated opencart module endpoint 95
GET|/opencart/admin/panel-96|id,page,tab,sort|Generated opencart admin panel route 96
GET|/opencart/api/v1/items/97|id,search,page,limit|Generated opencart api route 97
POST|/opencart/ajax/action-98|action,id,user_id,token|Generated opencart ajax action route 98
GET|/?opencart_probe_99=1|opencart_probe_99,id,cat,author|Generated opencart query route 99
GET|/opencart/index.php?option=component100|option,id,view,task|Generated opencart component route 100
POST|/opencart/admin/post-101|action,id,order_id,status|Generated opencart admin post route 101
GET|/opencart/search/102|q,order,dir,page|Generated opencart search route 102
GET|/opencart/modules/mod-103/endpoint.php|id,module,lang,state|Generated opencart module endpoint 103
GET|/opencart/admin/panel-104|id,page,tab,sort|Generated opencart admin panel route 104
GET|/opencart/api/v1/items/105|id,search,page,limit|Generated opencart api route 105
POST|/opencart/ajax/action-106|action,id,user_id,token|Generated opencart ajax action route 106
GET|/?opencart_probe_107=1|opencart_probe_107,id,cat,author|Generated opencart query route 107
GET|/opencart/index.php?option=component108|option,id,view,task|Generated opencart component route 108
POST|/opencart/admin/post-109|action,id,order_id,status|Generated opencart admin post route 109
GET|/opencart/search/110|q,order,dir,page|Generated opencart search route 110
GET|/opencart/modules/mod-111/endpoint.php|id,module,lang,state|Generated opencart module endpoint 111
GET|/opencart/admin/panel-112|id,page,tab,sort|Generated opencart admin panel route 112
GET|/opencart/api/v1/items/113|id,search,page,limit|Generated opencart api route 113
POST|/opencart/ajax/action-114|action,id,user_id,token|Generated opencart ajax action route 114
GET|/?opencart_probe_115=1|opencart_probe_115,id,cat,author|Generated opencart query route 115
GET|/opencart/index.php?option=component116|option,id,view,task|Generated opencart component route 116
POST|/opencart/admin/post-117|action,id,order_id,status|Generated opencart admin post route 117
GET|/opencart/search/118|q,order,dir,page|Generated opencart search route 118
GET|/opencart/modules/mod-119/endpoint.php|id,module,lang,state|Generated opencart module endpoint 119
GET|/opencart/admin/panel-120|id,page,tab,sort|Generated opencart admin panel route 120
GET|/opencart/api/v1/items/121|id,search,page,limit|Generated opencart api route 121
POST|/opencart/ajax/action-122|action,id,user_id,token|Generated opencart ajax action route 122
GET|/?opencart_probe_123=1|opencart_probe_123,id,cat,author|Generated opencart query route 123
GET|/opencart/index.php?option=component124|option,id,view,task|Generated opencart component route 124
POST|/opencart/admin/post-125|action,id,order_id,status|Generated opencart admin post route 125
GET|/opencart/search/126|q,order,dir,page|Generated opencart search route 126
GET|/opencart/modules/mod-127/endpoint.php|id,module,lang,state|Generated opencart module endpoint 127
GET|/opencart/admin/panel-128|id,page,tab,sort|Generated opencart admin panel route 128
GET|/opencart/api/v1/items/129|id,search,page,limit|Generated opencart api route 129
POST|/opencart/ajax/action-130|action,id,user_id,token|Generated opencart ajax action route 130
GET|/?opencart_probe_131=1|opencart_probe_131,id,cat,author|Generated opencart query route 131
GET|/opencart/index.php?option=component132|option,id,view,task|Generated opencart component route 132
POST|/opencart/admin/post-133|action,id,order_id,status|Generated opencart admin post route 133
GET|/opencart/search/134|q,order,dir,page|Generated opencart search route 134
GET|/opencart/modules/mod-135/endpoint.php|id,module,lang,state|Generated opencart module endpoint 135
GET|/opencart/admin/panel-136|id,page,tab,sort|Generated opencart admin panel route 136
GET|/opencart/api/v1/items/137|id,search,page,limit|Generated opencart api route 137
POST|/opencart/ajax/action-138|action,id,user_id,token|Generated opencart ajax action route 138
GET|/?opencart_probe_139=1|opencart_probe_139,id,cat,author|Generated opencart query route 139
GET|/opencart/index.php?option=component140|option,id,view,task|Generated opencart component route 140
POST|/opencart/admin/post-141|action,id,order_id,status|Generated opencart admin post route 141
GET|/opencart/search/142|q,order,dir,page|Generated opencart search route 142
GET|/opencart/modules/mod-143/endpoint.php|id,module,lang,state|Generated opencart module endpoint 143
GET|/opencart/admin/panel-144|id,page,tab,sort|Generated opencart admin panel route 144
GET|/opencart/api/v1/items/145|id,search,page,limit|Generated opencart api route 145
POST|/opencart/ajax/action-146|action,id,user_id,token|Generated opencart ajax action route 146
GET|/?opencart_probe_147=1|opencart_probe_147,id,cat,author|Generated opencart query route 147
GET|/opencart/index.php?option=component148|option,id,view,task|Generated opencart component route 148
POST|/opencart/admin/post-149|action,id,order_id,status|Generated opencart admin post route 149
GET|/opencart/search/150|q,order,dir,page|Generated opencart search route 150
GET|/opencart/modules/mod-151/endpoint.php|id,module,lang,state|Generated opencart module endpoint 151
GET|/opencart/admin/panel-152|id,page,tab,sort|Generated opencart admin panel route 152
GET|/opencart/api/v1/items/153|id,search,page,limit|Generated opencart api route 153
POST|/opencart/ajax/action-154|action,id,user_id,token|Generated opencart ajax action route 154
GET|/?opencart_probe_155=1|opencart_probe_155,id,cat,author|Generated opencart query route 155
GET|/opencart/index.php?option=component156|option,id,view,task|Generated opencart component route 156
POST|/opencart/admin/post-157|action,id,order_id,status|Generated opencart admin post route 157
GET|/opencart/search/158|q,order,dir,page|Generated opencart search route 158
GET|/opencart/modules/mod-159/endpoint.php|id,module,lang,state|Generated opencart module endpoint 159
