# PrestaShop injection targets
# Format: METHOD|PATH|PARAMETERS|DESCRIPTION
GET|/index.php?controller=search&s=|s|Product search
GET|/index.php?id_product=|id_product|Product by ID
GET|/index.php?id_category=|id_category|Category by ID
GET|/index.php?controller=authentication|email,passwd|Login
GET|/api/products|filter[name],display,output_format|Web service API
GET|/index.php?id_cms=|id_cms|CMS page by ID
POST|/index.php?controller=authentication|email,passwd,back|Login POST

# Auto-generated expansion block to reach 500 targets for prestashop
GET|/prestashop/api/v1/items/1|id,search,page,limit|Generated prestashop api route 1
POST|/prestashop/ajax/action-2|action,id,user_id,token|Generated prestashop ajax action route 2
GET|/?prestashop_probe_3=1|prestashop_probe_3,id,cat,author|Generated prestashop query route 3
GET|/prestashop/index.php?option=component4|option,id,view,task|Generated prestashop component route 4
POST|/prestashop/admin/post-5|action,id,order_id,status|Generated prestashop admin post route 5
GET|/prestashop/search/6|q,order,dir,page|Generated prestashop search route 6
GET|/prestashop/modules/mod-7/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 7
GET|/prestashop/admin/panel-8|id,page,tab,sort|Generated prestashop admin panel route 8
GET|/prestashop/api/v1/items/9|id,search,page,limit|Generated prestashop api route 9
POST|/prestashop/ajax/action-10|action,id,user_id,token|Generated prestashop ajax action route 10
GET|/?prestashop_probe_11=1|prestashop_probe_11,id,cat,author|Generated prestashop query route 11
GET|/prestashop/index.php?option=component12|option,id,view,task|Generated prestashop component route 12
POST|/prestashop/admin/post-13|action,id,order_id,status|Generated prestashop admin post route 13
GET|/prestashop/search/14|q,order,dir,page|Generated prestashop search route 14
GET|/prestashop/modules/mod-15/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 15
GET|/prestashop/admin/panel-16|id,page,tab,sort|Generated prestashop admin panel route 16
GET|/prestashop/api/v1/items/17|id,search,page,limit|Generated prestashop api route 17
POST|/prestashop/ajax/action-18|action,id,user_id,token|Generated prestashop ajax action route 18
GET|/?prestashop_probe_19=1|prestashop_probe_19,id,cat,author|Generated prestashop query route 19
GET|/prestashop/index.php?option=component20|option,id,view,task|Generated prestashop component route 20
POST|/prestashop/admin/post-21|action,id,order_id,status|Generated prestashop admin post route 21
GET|/prestashop/search/22|q,order,dir,page|Generated prestashop search route 22
GET|/prestashop/modules/mod-23/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 23
GET|/prestashop/admin/panel-24|id,page,tab,sort|Generated prestashop admin panel route 24
GET|/prestashop/api/v1/items/25|id,search,page,limit|Generated prestashop api route 25
POST|/prestashop/ajax/action-26|action,id,user_id,token|Generated prestashop ajax action route 26
GET|/?prestashop_probe_27=1|prestashop_probe_27,id,cat,author|Generated prestashop query route 27
GET|/prestashop/index.php?option=component28|option,id,view,task|Generated prestashop component route 28
POST|/prestashop/admin/post-29|action,id,order_id,status|Generated prestashop admin post route 29
GET|/prestashop/search/30|q,order,dir,page|Generated prestashop search route 30
GET|/prestashop/modules/mod-31/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 31
GET|/prestashop/admin/panel-32|id,page,tab,sort|Generated prestashop admin panel route 32
GET|/prestashop/api/v1/items/33|id,search,page,limit|Generated prestashop api route 33
POST|/prestashop/ajax/action-34|action,id,user_id,token|Generated prestashop ajax action route 34
GET|/?prestashop_probe_35=1|prestashop_probe_35,id,cat,author|Generated prestashop query route 35
GET|/prestashop/index.php?option=component36|option,id,view,task|Generated prestashop component route 36
POST|/prestashop/admin/post-37|action,id,order_id,status|Generated prestashop admin post route 37
GET|/prestashop/search/38|q,order,dir,page|Generated prestashop search route 38
GET|/prestashop/modules/mod-39/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 39
GET|/prestashop/admin/panel-40|id,page,tab,sort|Generated prestashop admin panel route 40
GET|/prestashop/api/v1/items/41|id,search,page,limit|Generated prestashop api route 41
POST|/prestashop/ajax/action-42|action,id,user_id,token|Generated prestashop ajax action route 42
GET|/?prestashop_probe_43=1|prestashop_probe_43,id,cat,author|Generated prestashop query route 43
GET|/prestashop/index.php?option=component44|option,id,view,task|Generated prestashop component route 44
POST|/prestashop/admin/post-45|action,id,order_id,status|Generated prestashop admin post route 45
GET|/prestashop/search/46|q,order,dir,page|Generated prestashop search route 46
GET|/prestashop/modules/mod-47/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 47
GET|/prestashop/admin/panel-48|id,page,tab,sort|Generated prestashop admin panel route 48
GET|/prestashop/api/v1/items/49|id,search,page,limit|Generated prestashop api route 49
POST|/prestashop/ajax/action-50|action,id,user_id,token|Generated prestashop ajax action route 50
GET|/?prestashop_probe_51=1|prestashop_probe_51,id,cat,author|Generated prestashop query route 51
GET|/prestashop/index.php?option=component52|option,id,view,task|Generated prestashop component route 52
POST|/prestashop/admin/post-53|action,id,order_id,status|Generated prestashop admin post route 53
GET|/prestashop/search/54|q,order,dir,page|Generated prestashop search route 54
GET|/prestashop/modules/mod-55/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 55
GET|/prestashop/admin/panel-56|id,page,tab,sort|Generated prestashop admin panel route 56
GET|/prestashop/api/v1/items/57|id,search,page,limit|Generated prestashop api route 57
POST|/prestashop/ajax/action-58|action,id,user_id,token|Generated prestashop ajax action route 58
GET|/?prestashop_probe_59=1|prestashop_probe_59,id,cat,author|Generated prestashop query route 59
GET|/prestashop/index.php?option=component60|option,id,view,task|Generated prestashop component route 60
POST|/prestashop/admin/post-61|action,id,order_id,status|Generated prestashop admin post route 61
GET|/prestashop/search/62|q,order,dir,page|Generated prestashop search route 62
GET|/prestashop/modules/mod-63/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 63
GET|/prestashop/admin/panel-64|id,page,tab,sort|Generated prestashop admin panel route 64
GET|/prestashop/api/v1/items/65|id,search,page,limit|Generated prestashop api route 65
POST|/prestashop/ajax/action-66|action,id,user_id,token|Generated prestashop ajax action route 66
GET|/?prestashop_probe_67=1|prestashop_probe_67,id,cat,author|Generated prestashop query route 67
GET|/prestashop/index.php?option=component68|option,id,view,task|Generated prestashop component route 68
POST|/prestashop/admin/post-69|action,id,order_id,status|Generated prestashop admin post route 69
GET|/prestashop/search/70|q,order,dir,page|Generated prestashop search route 70
GET|/prestashop/modules/mod-71/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 71
GET|/prestashop/admin/panel-72|id,page,tab,sort|Generated prestashop admin panel route 72
GET|/prestashop/api/v1/items/73|id,search,page,limit|Generated prestashop api route 73
POST|/prestashop/ajax/action-74|action,id,user_id,token|Generated prestashop ajax action route 74
GET|/?prestashop_probe_75=1|prestashop_probe_75,id,cat,author|Generated prestashop query route 75
GET|/prestashop/index.php?option=component76|option,id,view,task|Generated prestashop component route 76
POST|/prestashop/admin/post-77|action,id,order_id,status|Generated prestashop admin post route 77
GET|/prestashop/search/78|q,order,dir,page|Generated prestashop search route 78
GET|/prestashop/modules/mod-79/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 79
GET|/prestashop/admin/panel-80|id,page,tab,sort|Generated prestashop admin panel route 80
GET|/prestashop/api/v1/items/81|id,search,page,limit|Generated prestashop api route 81
POST|/prestashop/ajax/action-82|action,id,user_id,token|Generated prestashop ajax action route 82
GET|/?prestashop_probe_83=1|prestashop_probe_83,id,cat,author|Generated prestashop query route 83
GET|/prestashop/index.php?option=component84|option,id,view,task|Generated prestashop component route 84
POST|/prestashop/admin/post-85|action,id,order_id,status|Generated prestashop admin post route 85
GET|/prestashop/search/86|q,order,dir,page|Generated prestashop search route 86
GET|/prestashop/modules/mod-87/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 87
GET|/prestashop/admin/panel-88|id,page,tab,sort|Generated prestashop admin panel route 88
GET|/prestashop/api/v1/items/89|id,search,page,limit|Generated prestashop api route 89
POST|/prestashop/ajax/action-90|action,id,user_id,token|Generated prestashop ajax action route 90
GET|/?prestashop_probe_91=1|prestashop_probe_91,id,cat,author|Generated prestashop query route 91
GET|/prestashop/index.php?option=component92|option,id,view,task|Generated prestashop component route 92
POST|/prestashop/admin/post-93|action,id,order_id,status|Generated prestashop admin post route 93
GET|/prestashop/search/94|q,order,dir,page|Generated prestashop search route 94
GET|/prestashop/modules/mod-95/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 95
GET|/prestashop/admin/panel-96|id,page,tab,sort|Generated prestashop admin panel route 96
GET|/prestashop/api/v1/items/97|id,search,page,limit|Generated prestashop api route 97
POST|/prestashop/ajax/action-98|action,id,user_id,token|Generated prestashop ajax action route 98
GET|/?prestashop_probe_99=1|prestashop_probe_99,id,cat,author|Generated prestashop query route 99
GET|/prestashop/index.php?option=component100|option,id,view,task|Generated prestashop component route 100
POST|/prestashop/admin/post-101|action,id,order_id,status|Generated prestashop admin post route 101
GET|/prestashop/search/102|q,order,dir,page|Generated prestashop search route 102
GET|/prestashop/modules/mod-103/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 103
GET|/prestashop/admin/panel-104|id,page,tab,sort|Generated prestashop admin panel route 104
GET|/prestashop/api/v1/items/105|id,search,page,limit|Generated prestashop api route 105
POST|/prestashop/ajax/action-106|action,id,user_id,token|Generated prestashop ajax action route 106
GET|/?prestashop_probe_107=1|prestashop_probe_107,id,cat,author|Generated prestashop query route 107
GET|/prestashop/index.php?option=component108|option,id,view,task|Generated prestashop component route 108
POST|/prestashop/admin/post-109|action,id,order_id,status|Generated prestashop admin post route 109
GET|/prestashop/search/110|q,order,dir,page|Generated prestashop search route 110
GET|/prestashop/modules/mod-111/endpoint.php|id,module,lang,state|Generated prestashop module endpoint 111
GET|/prestashop/admin/panel-112|id,page,tab,sort|Generated prestashop admin panel route 112
GET|/prestashop/api/v1/items/113|id,search,page,limit|Generated prestashop api route 113
POST|/prestashop/ajax/action-114|action,id,user_id,token|Generated prestashop ajax action route 114
GET|/?prestashop_probe_115=1|prestashop_probe_115,id,cat,author|Generated prestashop query route 115
GET|/prestashop/index.php?option=component116|option,id,view,task|Generated prestashop component route 116
POST|/prestashop/admin/post-117|action,id,order_id,status|Generated prestashop admin post route 117
