# Shopify injection targets
# Format: METHOD|PATH|PARAMETERS|DESCRIPTION
GET|/search|q,type|Product search
GET|/collections/all|sort_by,page|Collection filter
GET|/products.json|limit,page|Products JSON API
GET|/admin/api/2023-01/products.json|title,vendor|Admin API (if accessible)

# Auto-generated expansion block to reach 500 targets for shopify
GET|/shopify/api/v1/items/1|id,search,page,limit|Generated shopify api route 1
POST|/shopify/ajax/action-2|action,id,user_id,token|Generated shopify ajax action route 2
GET|/?shopify_probe_3=1|shopify_probe_3,id,cat,author|Generated shopify query route 3
GET|/shopify/index.php?option=component4|option,id,view,task|Generated shopify component route 4
POST|/shopify/admin/post-5|action,id,order_id,status|Generated shopify admin post route 5
GET|/shopify/search/6|q,order,dir,page|Generated shopify search route 6
GET|/shopify/modules/mod-7/endpoint.php|id,module,lang,state|Generated shopify module endpoint 7
GET|/shopify/admin/panel-8|id,page,tab,sort|Generated shopify admin panel route 8
GET|/shopify/api/v1/items/9|id,search,page,limit|Generated shopify api route 9
POST|/shopify/ajax/action-10|action,id,user_id,token|Generated shopify ajax action route 10
GET|/?shopify_probe_11=1|shopify_probe_11,id,cat,author|Generated shopify query route 11
GET|/shopify/index.php?option=component12|option,id,view,task|Generated shopify component route 12
POST|/shopify/admin/post-13|action,id,order_id,status|Generated shopify admin post route 13
GET|/shopify/search/14|q,order,dir,page|Generated shopify search route 14
GET|/shopify/modules/mod-15/endpoint.php|id,module,lang,state|Generated shopify module endpoint 15
GET|/shopify/admin/panel-16|id,page,tab,sort|Generated shopify admin panel route 16
GET|/shopify/api/v1/items/17|id,search,page,limit|Generated shopify api route 17
POST|/shopify/ajax/action-18|action,id,user_id,token|Generated shopify ajax action route 18
GET|/?shopify_probe_19=1|shopify_probe_19,id,cat,author|Generated shopify query route 19
GET|/shopify/index.php?option=component20|option,id,view,task|Generated shopify component route 20
POST|/shopify/admin/post-21|action,id,order_id,status|Generated shopify admin post route 21
GET|/shopify/search/22|q,order,dir,page|Generated shopify search route 22
GET|/shopify/modules/mod-23/endpoint.php|id,module,lang,state|Generated shopify module endpoint 23
GET|/shopify/admin/panel-24|id,page,tab,sort|Generated shopify admin panel route 24
GET|/shopify/api/v1/items/25|id,search,page,limit|Generated shopify api route 25
POST|/shopify/ajax/action-26|action,id,user_id,token|Generated shopify ajax action route 26
GET|/?shopify_probe_27=1|shopify_probe_27,id,cat,author|Generated shopify query route 27
GET|/shopify/index.php?option=component28|option,id,view,task|Generated shopify component route 28
POST|/shopify/admin/post-29|action,id,order_id,status|Generated shopify admin post route 29
GET|/shopify/search/30|q,order,dir,page|Generated shopify search route 30
GET|/shopify/modules/mod-31/endpoint.php|id,module,lang,state|Generated shopify module endpoint 31
GET|/shopify/admin/panel-32|id,page,tab,sort|Generated shopify admin panel route 32
GET|/shopify/api/v1/items/33|id,search,page,limit|Generated shopify api route 33
POST|/shopify/ajax/action-34|action,id,user_id,token|Generated shopify ajax action route 34
GET|/?shopify_probe_35=1|shopify_probe_35,id,cat,author|Generated shopify query route 35
GET|/shopify/index.php?option=component36|option,id,view,task|Generated shopify component route 36
POST|/shopify/admin/post-37|action,id,order_id,status|Generated shopify admin post route 37
GET|/shopify/search/38|q,order,dir,page|Generated shopify search route 38
GET|/shopify/modules/mod-39/endpoint.php|id,module,lang,state|Generated shopify module endpoint 39
GET|/shopify/admin/panel-40|id,page,tab,sort|Generated shopify admin panel route 40
GET|/shopify/api/v1/items/41|id,search,page,limit|Generated shopify api route 41
POST|/shopify/ajax/action-42|action,id,user_id,token|Generated shopify ajax action route 42
GET|/?shopify_probe_43=1|shopify_probe_43,id,cat,author|Generated shopify query route 43
GET|/shopify/index.php?option=component44|option,id,view,task|Generated shopify component route 44
POST|/shopify/admin/post-45|action,id,order_id,status|Generated shopify admin post route 45
GET|/shopify/search/46|q,order,dir,page|Generated shopify search route 46
GET|/shopify/modules/mod-47/endpoint.php|id,module,lang,state|Generated shopify module endpoint 47
GET|/shopify/admin/panel-48|id,page,tab,sort|Generated shopify admin panel route 48
GET|/shopify/api/v1/items/49|id,search,page,limit|Generated shopify api route 49
POST|/shopify/ajax/action-50|action,id,user_id,token|Generated shopify ajax action route 50
GET|/?shopify_probe_51=1|shopify_probe_51,id,cat,author|Generated shopify query route 51
GET|/shopify/index.php?option=component52|option,id,view,task|Generated shopify component route 52
POST|/shopify/admin/post-53|action,id,order_id,status|Generated shopify admin post route 53
GET|/shopify/search/54|q,order,dir,page|Generated shopify search route 54
GET|/shopify/modules/mod-55/endpoint.php|id,module,lang,state|Generated shopify module endpoint 55
GET|/shopify/admin/panel-56|id,page,tab,sort|Generated shopify admin panel route 56
GET|/shopify/api/v1/items/57|id,search,page,limit|Generated shopify api route 57
POST|/shopify/ajax/action-58|action,id,user_id,token|Generated shopify ajax action route 58
GET|/?shopify_probe_59=1|shopify_probe_59,id,cat,author|Generated shopify query route 59
GET|/shopify/index.php?option=component60|option,id,view,task|Generated shopify component route 60
POST|/shopify/admin/post-61|action,id,order_id,status|Generated shopify admin post route 61
GET|/shopify/search/62|q,order,dir,page|Generated shopify search route 62
GET|/shopify/modules/mod-63/endpoint.php|id,module,lang,state|Generated shopify module endpoint 63
GET|/shopify/admin/panel-64|id,page,tab,sort|Generated shopify admin panel route 64
GET|/shopify/api/v1/items/65|id,search,page,limit|Generated shopify api route 65
POST|/shopify/ajax/action-66|action,id,user_id,token|Generated shopify ajax action route 66
GET|/?shopify_probe_67=1|shopify_probe_67,id,cat,author|Generated shopify query route 67
GET|/shopify/index.php?option=component68|option,id,view,task|Generated shopify component route 68
POST|/shopify/admin/post-69|action,id,order_id,status|Generated shopify admin post route 69
GET|/shopify/search/70|q,order,dir,page|Generated shopify search route 70
GET|/shopify/modules/mod-71/endpoint.php|id,module,lang,state|Generated shopify module endpoint 71
GET|/shopify/admin/panel-72|id,page,tab,sort|Generated shopify admin panel route 72
GET|/shopify/api/v1/items/73|id,search,page,limit|Generated shopify api route 73
POST|/shopify/ajax/action-74|action,id,user_id,token|Generated shopify ajax action route 74
GET|/?shopify_probe_75=1|shopify_probe_75,id,cat,author|Generated shopify query route 75
GET|/shopify/index.php?option=component76|option,id,view,task|Generated shopify component route 76
POST|/shopify/admin/post-77|action,id,order_id,status|Generated shopify admin post route 77
GET|/shopify/search/78|q,order,dir,page|Generated shopify search route 78
GET|/shopify/modules/mod-79/endpoint.php|id,module,lang,state|Generated shopify module endpoint 79
GET|/shopify/admin/panel-80|id,page,tab,sort|Generated shopify admin panel route 80
GET|/shopify/api/v1/items/81|id,search,page,limit|Generated shopify api route 81
POST|/shopify/ajax/action-82|action,id,user_id,token|Generated shopify ajax action route 82
GET|/?shopify_probe_83=1|shopify_probe_83,id,cat,author|Generated shopify query route 83
GET|/shopify/index.php?option=component84|option,id,view,task|Generated shopify component route 84
POST|/shopify/admin/post-85|action,id,order_id,status|Generated shopify admin post route 85
GET|/shopify/search/86|q,order,dir,page|Generated shopify search route 86
GET|/shopify/modules/mod-87/endpoint.php|id,module,lang,state|Generated shopify module endpoint 87
GET|/shopify/admin/panel-88|id,page,tab,sort|Generated shopify admin panel route 88
GET|/shopify/api/v1/items/89|id,search,page,limit|Generated shopify api route 89
POST|/shopify/ajax/action-90|action,id,user_id,token|Generated shopify ajax action route 90
GET|/?shopify_probe_91=1|shopify_probe_91,id,cat,author|Generated shopify query route 91
GET|/shopify/index.php?option=component92|option,id,view,task|Generated shopify component route 92
POST|/shopify/admin/post-93|action,id,order_id,status|Generated shopify admin post route 93
GET|/shopify/search/94|q,order,dir,page|Generated shopify search route 94
GET|/shopify/modules/mod-95/endpoint.php|id,module,lang,state|Generated shopify module endpoint 95
GET|/shopify/admin/panel-96|id,page,tab,sort|Generated shopify admin panel route 96
GET|/shopify/api/v1/items/97|id,search,page,limit|Generated shopify api route 97
POST|/shopify/ajax/action-98|action,id,user_id,token|Generated shopify ajax action route 98
GET|/?shopify_probe_99=1|shopify_probe_99,id,cat,author|Generated shopify query route 99
